Dataset,PW (initial),PW (optimized),QSPR,,,
CHEMBL237_Ki,"[0.3370, 0.5817, 0.0813]","[0.3428, 0.5512, 0.1060]",[0.46067785 0.50066644 0.03865571],,,
CHEMBL1862_Ki,"[0.0107, 0.9673, 0.0220]","[0.0107, 0.9673, 0.0220]",[0.36913398 0.35873951 0.27212651],,,
CHEMBL204_Ki,"[0.2026, 0.1344, 0.6630]","[0.1879, 0.1278, 0.6843]",[0.53537078 0.24999619 0.21463303],,,
CHEMBL238_Ki,"[0.6041, 0.2040, 0.1918]","[0.5757, 0.2010, 0.2233]",[0.43752804 0.33352127 0.22895069],,,
CHEMBL234_Ki,"[0.4744, 0.2639, 0.2617]","[0.4031, 0.2576, 0.3393]",[0.41377712 0.32251738 0.2637055 ],,,
CHEMBL264_Ki,"[0.1492, 0.3089, 0.5419]","[0.1416, 0.2934, 0.5650]",[0.35851036 0.33735999 0.30412964],,,
CHEMBL236_Ki,"[0.0155, 0.9004, 0.0841]","[0.0178, 0.8337, 0.1484]",[0.42280031 0.37407343 0.20312627],,,
CHEMBL2835_Ki,"[0.0621, 0.9189, 0.0190]","[0.0627, 0.9172, 0.0202]",[0.37361845 0.35217453 0.27420702],,,
CHEMBL244_Ki,"[0.4428, 0.2525, 0.3047]","[0.3977, 0.2399, 0.3624]",[0.40076213 0.36184974 0.23738813],,,
CHEMBL2147_Ki,"[0.3390, 0.6564, 0.0045]","[0.3441, 0.6513, 0.0045]",[0.38628796 0.39524422 0.21846782],,,
CHEMBL262_Ki,"[0.3094, 0.3825, 0.3082]","[0.2931, 0.3640, 0.3430]",[0.39568406 0.422915 0.18140094],,,
CHEMBL1871_Ki,"[0.7505, 0.1624, 0.0871]","[0.7501, 0.1573, 0.0926]",[0.39068723 0.27159258 0.3377202 ],,,
CHEMBL287_Ki,"[0.4294, 0.5071, 0.0635]","[0.4519, 0.4763, 0.0718]",[0.35543636 0.30905387 0.33550978],,,
CHEMBL2034_Ki,"[0.5817, 0.2644, 0.1539]","[0.5750, 0.2520, 0.1730]",[0.39629282 0.27273838 0.3309688 ],,,
CHEMBL219_Ki,"[0.2217, 0.5339, 0.2444]","[0.2021, 0.4907, 0.3073]",[0.37406474 0.39773117 0.22820409],,,
CHEMBL231_Ki,"[0.5777, 0.2042, 0.2181]","[0.5241, 0.2045, 0.2714]",[0.34914265 0.33804222 0.31281513],,,
CHEMBL228_Ki,"[0.5051, 0.0180, 0.4769]","[0.4489, 0.0173, 0.5338]",[0.40243662 0.26599004 0.33157334],,,
CHEMBL233_Ki,"[0.3197, 0.6404, 0.0399]","[0.3591, 0.5976, 0.0433]",[0.40865652 0.40739312 0.18395035],,,
CHEMBL214_Ki,"[0.2519, 0.2256, 0.5225]","[0.2342, 0.2113, 0.5545]",[0.38744774 0.42293528 0.18961698],,,
CHEMBL237_EC50,"[0.5378, 0.4477, 0.0145]","[0.5720, 0.4142, 0.0138]",[0.4085616 0.32378151 0.26765688],,,
CHEMBL2971_Ki,"[0.2037, 0.3672, 0.4292]","[0.1933, 0.3471, 0.4597]",[0.35725506 0.35214643 0.29059852],,,
CHEMBL4616_EC50,"[0.1759, 0.3781, 0.4460]","[0.1716, 0.3620, 0.4664]",[0.43165324 0.55715759 0.01118917],,,
CHEMBL235_EC50,"[0.2502, 0.6754, 0.0744]","[0.2563, 0.6578, 0.0859]",[0.237241 0.36441295 0.39834605],,,
CHEMBL239_EC50,"[0.3511, 0.0933, 0.5557]","[0.3387, 0.0915, 0.5698]",[0.37408966 0.38421105 0.2416993 ],,,
CHEMBL4203_Ki,"[0.0875, 0.0720, 0.8405]","[0.0874, 0.0716, 0.8410]",[0.37398602 0.42598272 0.20003126],,,
CHEMBL3979_EC50,"[0.0736, 0.6077, 0.3187]","[0.0719, 0.5787, 0.3494]",[0.4692075 0.47724731 0.05354519],,,
CHEMBL2047_EC50,"[0.8464, 0.1073, 0.0463]","[0.8468, 0.1035, 0.0497]",[0.31726962 0.33489286 0.34783751],,,
CHEMBL4005_Ki,"[0.1656, 0.7464, 0.0880]","[0.1548, 0.7378, 0.1074]",[0.38503089 0.36755909 0.24741002],,,
CHEMBL4792_Ki,"[0.2600, 0.3058, 0.4342]","[0.2470, 0.2918, 0.4612]",[0.34495857 0.25322098 0.40182045],,,
CHEMBL218_EC50,"[0.3385, 0.0854, 0.5761]","[0.3234, 0.0836, 0.5930]",[0.37108567 0.31737456 0.31153976],,,
